NM_CANDIDATO;NR_CANDIDATO;CD_CARGO;DS_CARGO;CD_GRAU_INSTRUCAO;DS_OCUPACAO;CD_OCUPACAO;CD_GENERO;sigla;ano
LOURIVAL MUSTAFA DE ANDRADE;45;11;PREFEITO;4;OUTROS;999;2;AC;2000
JÚLIO BARBOSA DE AQUINO;13;11;PREFEITO;3;TRABALHADOR FLORESTAL;603;2;AC;2000
ITAMAR PEREIRA DE SA;15;11;PREFEITO;7;BANCARIO E ECONOMIARIO;395;2;AC;2000
JOSONE FERREIRA DA SILVA;13;11;PREFEITO;8;MÉDICO;111;2;AC;2000
FLAVIANO FLÁVIO BAPTISTA DE MELO;15;11;PREFEITO;8;OUTROS;999;2;AC;2000
FRANCISCO TURIANO DE FARIAS;11;11;PREFEITO;3;NÃO INFORMADA;0;2;AC;2000
ANTONIA FRANÇA DE OLIVEIRA VIEIRA;25;11;PREFEITO;4;SERVIDOR PUBLICO MUNICIPAL;298;4;AC;2000
FRANCIMAR FERNANDES DE ALBUQUERQUE;13;11;PREFEITO;6;PROPRIETÁRIO DE ESTABELECIMENTO COMERCIAL;902;2;AC;2000
PEDRO RODRIGUES LINARD;15;11;PREFEITO;5;OUTROS;999;2;AC;2000
MANOEL BATISTA DE ARAÚJO;13;11;PREFEITO;6;PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS;143;2;AC;2000
LUIZ HELOSMAN DE FIGUEIREDO;11;11;PREFEITO;8;ODONTÓLOGO;115;2;AC;2000
VANDERLEY MESSIAS SALES;15;11;PREFEITO;6;BANCARIO E ECONOMIARIO;395;2;AC;2000
JOÃO EDVALDO TELES DE LIMA;15;11;PREFEITO;3;NÃO INFORMADA;0;2;AC;2000
JOÃO SEBASTIÃO FLORES DA SILVA;11;11;PREFEITO;8;OUTROS;999;2;AC;2000
MANOEL GOMES SOCORRO DA SILVA;25;11;PREFEITO;8;SERVIDOR PUBLICO ESTADUAL;297;2;AC;2000
FRANCISCO TAVARES DE SOUZA;45;11;PREFEITO;6;OUTROS;999;2;AC;2000
FRANCISCO VAGNER DE SANTANA AMORIM;11;11;PREFEITO;6;TRABALHADOR FLORESTAL;603;2;AC;2000
